date,os,country,spend,impressions,clicks,installs
2020-06-01,android,AD,0.02,32,2,2
2020-06-01,android,AE,2.73,1167,19,8
2020-06-01,android,AF,0.07,110,4,0
2020-06-01,android,AG,0.04,26,0,0
2020-06-01,android,AL,0.13,70,1,1
2020-06-01,android,AM,0.17,211,6,5
2020-06-01,android,AR,5.71,6674,179,88
2020-06-01,android,AS,0.01,14,0,0
2020-06-01,android,AT,22.69,3874,47,14
2020-06-01,android,AU,11.71,1485,19,8
2020-06-01,android,AW,0.02,39,0,0
2020-06-01,android,AZ,0.23,233,12,2
2020-06-01,android,BA,1.02,1292,27,10
2020-06-01,android,BB,0.2,44,1,1
2020-06-01,android,BD,0.28,408,16,5
2020-06-01,android,BE,18.07,4702,78,30
2020-06-01,android,BF,0.02,22,0,0
2020-06-01,android,BG,0.8,702,13,5
2020-06-01,android,BH,0.32,117,4,1
2020-06-01,android,BJ,0.01,7,0,0
2020-06-01,android,BM,0.06,16,3,1
2020-06-01,android,BN,0.2,133,0,0
2020-06-01,android,BO,0.4,497,12,5
2020-06-01,android,BR,125.197,88755,1554,736
2020-06-01,android,BS,0.27,130,1,1
2020-06-01,android,BW,0.05,40,0,0
2020-06-01,android,BY,4.76976,2722,95,25
2020-06-01,android,BZ,0.01,22,1,0
2020-06-01,android,CA,26.48,3170,27,14
2020-06-01,android,CD,0.06,66,1,0
2020-06-01,android,CH,24.7,2981,60,21
2020-06-01,android,CI,0.03,38,0,0
2020-06-01,android,CL,146.269,81839,1223,431
2020-06-01,android,CM,0.01,8,0,0
2020-06-01,android,CO,6.49,6277,84,54
2020-06-01,android,CR,1.41,1342,17,10
2020-06-01,android,CW,0.04,8,0,1
2020-06-01,android,CY,0.63,379,4,0
2020-06-01,android,CZ,20.49,4753,75,25
2020-06-01,android,DE,156.7,22864,390,145
2020-06-01,android,DJ,0.04,27,0,0
2020-06-01,android,DK,5.45,565,6,2
2020-06-01,android,DO,0.33,224,9,3
2020-06-01,android,DZ,0.62,1204,55,17
2020-06-01,android,EC,16.1,12271,288,86
2020-06-01,android,EE,0.25,60,1,0
2020-06-01,android,EG,4.73,5739,204,78
2020-06-01,android,ES,36.29,15115,222,83
2020-06-01,android,FI,1.78,207,2,3
2020-06-01,android,FJ,0.03,40,2,0
2020-06-01,android,FK,0.01,2,0,0
2020-06-01,android,FO,0.01,5,0,0
2020-06-01,android,FR,75.2,16354,231,74
2020-06-01,android,GD,0.02,17,0,0
2020-06-01,android,GE,20.01,16329,696,248
2020-06-01,android,GF,0.06,31,0,0
2020-06-01,android,GG,0.05,10,1,0
2020-06-01,android,GH,0.31,152,6,3
2020-06-01,android,GL,0.07,36,1,1
2020-06-01,android,GP,0.27,63,1,0
2020-06-01,android,GR,8.18998,4145,56,18
2020-06-01,android,GT,0.22,185,4,2
2020-06-01,android,GU,0.27,88,0,0
2020-06-01,android,GY,0.07,32,0,0
2020-06-01,android,HK,0.91,176,5,1
2020-06-01,android,HN,0.73,695,8,4
2020-06-01,android,HR,10.28,5668,57,25
2020-06-01,android,HT,0.02,10,1,0
2020-06-01,android,HU,21.85,10758,163,52
2020-06-01,android,ID,42.2498,33849,628,166
2020-06-01,android,IE,5.58,1271,9,4
2020-06-01,android,IL,7.21,1828,27,7
2020-06-01,android,IM,0.02,11,0,0
2020-06-01,android,IN,25.46,28901,873,212
2020-06-01,android,IQ,55.93,96553,6324,2609
2020-06-01,android,IS,0.2,38,0,1
2020-06-01,android,IT,50.21,18816,229,83
2020-06-01,android,JE,0.02,20,0,0
2020-06-01,android,JO,1.21,864,29,11
2020-06-01,android,JP,4.94,574,10,4
2020-06-01,android,KE,0.3,135,5,2
2020-06-01,android,KG,0.01,106,4,2
2020-06-01,android,KH,0.17,211,13,7
2020-06-01,android,KN,0.04,7,0,0
2020-06-01,android,KR,25.6,2776,41,16
2020-06-01,android,KW,1.92,702,11,4
2020-06-01,android,KY,0.06,14,0,0
2020-06-01,android,KZ,7.54,6609,178,55
2020-06-01,android,LA,0.07,174,9,4
2020-06-01,android,LB,0.42,625,12,5
2020-06-01,android,LC,0.02,8,0,0
2020-06-01,android,LI,0.02,2,0,0
2020-06-01,android,LK,0.4,464,13,3
2020-06-01,android,LR,0.01,6,1,0
2020-06-01,android,LS,0.01,2,0,0
2020-06-01,android,LT,0.38,248,6,2
2020-06-01,android,LU,0.21,43,2,1
2020-06-01,android,LV,0.53,223,5,5
2020-06-01,android,LY,0.33,1576,57,25
2020-06-01,android,MA,0.98,1326,29,8
2020-06-01,android,MC,0.02,4,0,0
2020-06-01,android,MD,1.67,1198,16,8
2020-06-01,android,ME,0.08,95,2,1
2020-06-01,android,MF,0.04,14,0,0
2020-06-01,android,MG,0.01,16,1,0
2020-06-01,android,MK,0.09,113,4,4
2020-06-01,android,ML,0.08,37,2,0
2020-06-01,android,MM,0.81,2119,50,21
2020-06-01,android,MN,0.12,266,17,9
2020-06-01,android,MP,0.04,24,0,0
2020-06-01,android,MQ,0.07,35,3,2
2020-06-01,android,MR,0.01,6,0,2
2020-06-01,android,MT,0.02,9,1,0
2020-06-01,android,MU,0.12,111,1,1
2020-06-01,android,MV,0.1,98,2,0
2020-06-01,android,MW,0.01,7,0,0
2020-06-01,android,MX,17.6598,15152,263,96
2020-06-01,android,MY,100.95,45419,763,189
2020-06-01,android,MZ,0.02,13,0,0
2020-06-01,android,NA,0.19,186,3,0
2020-06-01,android,NC,0.17,52,0,1
2020-06-01,android,NE,0.01,7,0,0
2020-06-01,android,NG,0.32,149,5,1
2020-06-01,android,NI,0.32,358,5,3
2020-06-01,android,NL,37.99,5133,76,32
2020-06-01,android,NO,21.35,1528,28,13
2020-06-01,android,NP,0.06,190,5,5
2020-06-01,android,NR,0.01,4,0,0
2020-06-01,android,NZ,5.75,1013,14,6
2020-06-01,android,OM,0.41,236,5,2
2020-06-01,android,PA,0.569978,345,16,5
2020-06-01,android,PE,5.69,3625,40,15
2020-06-01,android,PF,0.04,9,0,0
2020-06-01,android,PG,0.12,32,0,1
2020-06-01,android,PH,48.5899,40891,791,293
2020-06-01,android,PK,1.96,2542,98,38
2020-06-01,android,PL,86.84,29720,324,106
2020-06-01,android,PR,2.44,873,13,5
2020-06-01,android,PS,0.83,659,28,9
2020-06-01,android,PT,8.70999,5009,82,25
2020-06-01,android,PW,0.03,6,0,0
2020-06-01,android,PY,0.21,197,6,0
2020-06-01,android,QA,0.49,228,6,2
2020-06-01,android,RE,0.51,267,8,1
2020-06-01,android,RO,62.05,23748,525,183
2020-06-01,android,RS,0.53,436,16,6
2020-06-01,android,RU,92.0166,32998,897,293
2020-06-01,android,SA,60.9999,22383,422,150
2020-06-01,android,SC,0.02,12,2,1
2020-06-01,android,SE,12.34,1298,26,9
